1	2	3	4	5	6	7	8	9	10	11			
Code	BaseTHDD	QF_A_Weekday	QF_B_Weekday	QF_C_Weekday	QF_A_Weekend	QF_B_Weekend	QF_C_Weekend	AHMin	AHSlope	TCritic			
10	18.2	0.1	0.00986	0.0102	0.1	0.00986	0.0102	15	2.7	7	!	Helsinki	Jarvi et al 2014
11	18.2	0.3081	0.0099	0.0102	0.3081	0.0099	0.0102	-999	-999	-999	!	Järvi et al. (2011) - MD	
551	18.2	0.1445807	0.0000000	0.0037491	0.1329150	0.0000000	0.0037537	-999	-999	-999	!	Swindon fit	Ward et al. (2013)
5512	18.2	0.3081357	0.0098631	0.0101826	0.3081357	0.0098631	0.0101826	-999	-999	-999	!	Swindon	(default)
661	18.2	0.3081357	0.0098631	0.0101826	0.3081357	0.0098631	0.0101826	15	2.7	7	!	London	
-9													
-9													
													
													
													
													
													
													
													
													
